Image,AE_MSE,AE_PSNR,UNet_MSE,UNet_PSNR
img_0.jpg,0.0033532504457980394,24.74534273147583,0.0007519806385971606,31.23793363571167
img_1.jpg,0.003661894239485264,24.362943172454834,0.0010580623056739569,29.754889011383057
img_10.jpg,0.0011626663617789745,29.34544801712036,0.0003498625010251999,34.561026096343994
img_100.jpg,0.006000572815537453,22.218074798583984,0.0010863661300390959,29.640238285064697
img_1000.jpg,0.008918174542486668,20.497241020202637,0.004597958642989397,23.37435007095337
img_10000.jpg,0.010737249627709389,19.69106912612915,0.003992418292909861,23.98764133453369
img_10001.jpg,0.004614181350916624,23.359055519104004,0.0029384824447333813,25.31877040863037
img_10002.jpg,0.005007071420550346,23.004162311553955,0.0019799701403826475,27.03341245651245
img_10003.jpg,0.010245397686958313,19.894713163375854,0.005755302496254444,22.399320602416992
img_10004.jpg,0.0073058102279901505,21.36331796646118,0.0006492765387520194,31.87570333480835
